length,even_odd,first_char_vowel,second_char_vowel,vowels,consonants,vowel_consonant_ratio,spaces,dots,words,class
0.2777777777777778,1.0,0.0,0.0,0.125,0.38461538461538464,0.08666666666666664,0.0,0.0,0.0,0.0
0.5,1.0,1.0,0.0,0.75,0.30769230769230776,0.5933333333333333,0.0,0.0,0.0,0.0
0.38888888888888884,1.0,0.0,1.0,0.25,0.4615384615384615,0.12666666666666668,0.0,0.0,0.0,1.0
0.4444444444444444,0.0,0.0,1.0,0.375,0.4615384615384615,0.2066666666666667,0.0,0.0,0.0,1.0
0.6111111111111112,1.0,0.0,0.0,0.5,0.4615384615384615,0.28,0.5,0.5,0.5,0.0
0.5,1.0,0.0,1.0,0.25,0.4615384615384615,0.12666666666666668,0.5,0.5,0.5,1.0
0.11111111111111116,0.0,0.0,1.0,0.0,0.23076923076923078,0.053333333333333344,0.0,0.0,0.0,1.0
0.5,1.0,0.0,1.0,0.25,0.4615384615384615,0.12666666666666668,0.5,0.5,0.5,1.0
0.16666666666666674,1.0,0.0,1.0,0.375,0.07692307692307693,0.6666666666666666,0.0,0.0,0.0,1.0
0.2777777777777778,1.0,0.0,1.0,0.25,0.30769230769230776,0.2133333333333333,0.0,0.0,0.0,1.0
0.5555555555555556,0.0,0.0,1.0,0.5,0.38461538461538464,0.33333333333333337,0.5,0.5,0.5,1.0
0.4444444444444444,0.0,0.0,1.0,0.375,0.4615384615384615,0.2066666666666667,0.0,0.0,0.0,1.0
0.33333333333333337,0.0,0.0,1.0,0.25,0.38461538461538464,0.16666666666666666,0.0,0.0,0.0,1.0
0.5555555555555556,0.0,0.0,1.0,0.5,0.5384615384615385,0.2333333333333333,0.0,0.0,0.0,1.0
0.2777777777777778,1.0,0.0,1.0,0.125,0.23076923076923078,0.16666666666666666,0.5,0.5,0.5,1.0
0.5555555555555556,0.0,0.0,1.0,0.5,0.5384615384615385,0.2333333333333333,0.0,0.0,0.0,1.0
0.2777777777777778,1.0,0.0,1.0,0.375,0.23076923076923078,0.3866666666666666,0.0,0.0,0.0,1.0
0.4444444444444444,0.0,0.0,0.0,0.375,0.4615384615384615,0.2066666666666667,0.0,0.0,0.0,0.0
0.5,1.0,0.0,0.0,0.5,0.4615384615384615,0.28,0.0,0.0,0.0,0.0
0.2777777777777778,1.0,1.0,0.0,0.0,0.30769230769230776,0.026666666666666644,0.5,0.5,0.5,0.0
