MAE,Dataset
0.033269999999999994,1043_ada_agnostic
0.09101000000000001,1048_jEdit_4
0.02211999999999998,1049_pc4
0.11613000000000002,1050_pc3
0.06419,1054_mc2
0.1347,1056_mc1
0.20401999999999995,1061_ar4
0.30423999999999995,1065_kc3
0.01802999999999998,1066_kc1-binary
0.31459000000000004,1068_pc1
0.40167,1069_pc2
0.09095999999999999,1071_mw1
0.12042000000000001,1073_jEdit_4
0.23251000000000005,1075_datatrieve
0.11191,1115_teachingAssistant
0.005230000000000003,1121_badges2
0.16218000000000005,1167_pc1_req
0.01806,11_balance-scale
0.004329999999999991,12_mfeat-factors
0.17845,1456_appendicitis
0.13273000000000001,1460_banana
0.0030199999999999706,1462_banknote-authentication
0.049019999999999994,1464_blood-transfusion-service-center
0.08478000000000001,1465_breast-tissue
0.0,1466_cardiotocography
0.32117999999999997,1467_climate-model-simulation-crashes
0.26083,1473_fertility
0.03390000000000002,1475_first-order-theorem-proving
0.019690000000000003,1479_hill-valley
0.14496,1484_lsvt
0.06047,1485_madelon
0.07799999999999999,1487_ozone-level-8hr
0.061,1488_parkinsons
0.022740000000000007,1489_phoneme
0.41665,1490_planning-relax
0.05722000000000001,1494_qsar-biodeg
0.021969999999999986,1495_qualitative-bankruptcy
0.020750000000000008,1496_ringnorm
0.019470000000000005,1497_wall-robot-navigation
0.03695,1498_sa-heart
0.011200000000000026,14_mfeat-fourier
0.014230000000000001,1501_semeion
0.0005899999999999987,1504_steel-plates-fault
0.29367,1506_thoracic-surgery
0.002730000000000002,1507_twonorm
0.014990000000000003,1508_user-knowledge
0.0111,1510_wdbc
0.026150000000000007,1511_wholesale-customers
0.33404,1512_heart-long-beach
0.03464999999999999,1519_robot-failures-lp4
0.2222,1520_robot-failures-lp5
0.012020000000000013,1523_vertebra-column
0.028030000000000006,1526_wall-robot-navigation
0.03843,1527_volcanoes-a1
0.020680000000000004,1528_volcanoes-a2
0.03575000000000001,1529_volcanoes-a3
0.030619999999999998,1530_volcanoes-a4
0.04617,1535_volcanoes-b5
0.17426,1538_volcanoes-d1
0.1423,1539_volcanoes-d2
0.023250000000000028,1540_volcanoes-d3
0.09747999999999998,1541_volcanoes-d4
0.19362,1547_autoUniv-au1-1000
0.12105000000000002,1559_breast-tissue
0.07224,1565_heart-h
0.09388000000000002,1566_hill-valley
0.03444000000000001,1570_wilt
0.048740000000000006,1600_SPECTF
0.014580000000000027,16_mfeat-karhunen
0.007929999999999998,182_satimage
0.019250000000000014,187_wine
0.0032099999999999906,18_mfeat-morphological
0.014859999999999998,20_mfeat-pixel
0.035710000000000006,22_mfeat-zernike
0.04802,23_cmc
0.012249999999999994,28_optdigits
0.01945,292_Australian
0.00706000000000003,294_satellite_image
0.04054000000000001,30_page-blocks
0.15854000000000007,311_oil_spill
0.0062000000000000015,312_scene
0.22232999999999997,316_yeast_ml8
0.06751000000000004,329_hayes-roth
0.04442000000000001,333_monks-problems-1
0.23931,334_monks-problems-2
0.053380000000000004,335_monks-problems-3
0.15119000000000002,336_SPECT
0.0025700000000000067,36_segment
0.0074400000000000134,375_JapaneseVowels
0.001150000000000009,377_synthetic_control
0.05176000000000001,37_diabetes
0.023270000000000002,40474_thyroid-allbp
0.03134,40475_thyroid-allhyper
0.10439000000000002,40496_LED-display-domain-7digit
0.06311000000000003,40733_yeast
0.018610000000000005,40877_seeds
0.04515999999999998,40_sonar
0.16168,43_haberman
0.008890000000000002,44_spambase
0.21167000000000002,450_analcatdata_lawsuit
0.05115000000000001,4538_GesturePhaseSegmentationProcessed
0.002110000000000011,458_analcatdata_authorship
0.06156999999999999,461_analcatdata_creditscore
0.32123,463_backache
0.03788,464_prnn_synth
0.29639,48_tae
0.13069999999999996,53_heart-statlog
0.019029999999999984,54_vehicle
0.05675999999999999,59_ionosphere
0.011330000000000012,60_waveform-5000
0.007859999999999989,61_iris
0.32271000000000005,679_rmftsa_sleepdata
0.018189999999999977,694_diggle_table_a2
0.014129999999999998,AedesQuinx
0.0050599999999999725,AedesSex
0.00690999999999999,anuranCalls
0.003640000000000007,ArabicDigit
0.005399999999999977,BNG
0.11259000000000001,click-prediction
0.02938999999999999,cmc
0.02408000000000001,covtype_reduced
0.04644999999999999,default_credit_card_clients
0.06589999999999999,eeg
0.0067000000000000115,HTRU
0.05320999999999999,jm1-processed
0.03534000000000002,letter-recognition
0.018900000000000004,magic
0.01602000000000002,mozilla
0.006279999999999989,namao
0.0035100000000000105,occupancy
0.020690000000000007,phoneme
0.009020000000000023,spambase
0.0030099999999999984,winetype
