MAE,Dataset
0.1832,1043_ada_agnostic.csv
0.49939999999999996,1069_pc2.csv
0.0317,11_balance-scale.csv
0.00885,12_mfeat-factors.csv
0.42095,1460_banana.csv
0.00955,1462_banknote-authentication.csv
0.0,1466_cardiotocography.csv
0.19024999999999997,1475_first-order-theorem-proving.csv
0.22625,1479_hill-valley.csv
0.215,1485_madelon.csv
0.24815,1489_phoneme.csv
0.08525,1494_qsar-biodeg.csv
0.14825000000000002,1496_ringnorm.csv
0.13335,1497_wall-robot-navigation.csv
0.00975,14_mfeat-fourier.csv
0.0,1504_steel-plates-fault.csv
0.0151,1507_twonorm.csv
0.01665,1510_wdbc.csv
0.16845,1526_wall-robot-navigation.csv
0.2118,1527_volcanoes-a1.csv
0.34765,1535_volcanoes-b5.csv
0.5,1538_volcanoes-d1.csv
0.5,1539_volcanoes-d2.csv
0.48534999999999995,1540_volcanoes-d3.csv
0.47485,1541_volcanoes-d4.csv
0.5,1547_autoUniv-au1-1000.csv
0.2146,1566_hill-valley.csv
0.3625,1570_wilt.csv
0.028450000000000003,16_mfeat-karhunen.csv
0.02135,182_satimage.csv
0.0086,18_mfeat-morphological.csv
0.0204,20_mfeat-pixel.csv
0.03705,22_mfeat-zernike.csv
0.22735,23_cmc.csv
0.05325,28_optdigits.csv
0.0786,292_Australian.csv
0.02075,294_satellite_image.csv
0.1417,30_page-blocks.csv
0.028450000000000003,312_scene.csv
0.18774999999999997,333_monks-problems-1.csv
0.5,334_monks-problems-2.csv
0.025550000000000003,335_monks-problems-3.csv
0.0103,36_segment.csv
0.0592,375_JapaneseVowels.csv
0.17300000000000001,37_diabetes.csv
0.1582,40474_thyroid-allbp.csv
0.16365,40475_thyroid-allhyper.csv
0.36655,40733_yeast.csv
0.0483,44_spambase.csv
0.3703,4538_GesturePhaseSegmentationProcessed.csv
0.0052,458_analcatdata_authorship.csv
0.0291,54_vehicle.csv
0.07680000000000001,60_waveform-5000.csv
0.5,679_rmftsa_sleepdata.csv
0.10295,AedesQuinx.csv
0.0151,AedesSex.csv
0.0098,anuranCalls.csv
0.0131,ArabicDigit.csv
0.09005,BNG.csv
0.03975,click-prediction.csv
0.4985,cmc.csv
0.22745,covtype_reduced.csv
0.1285,default_credit_card_clients.csv
0.3728,eeg.csv
0.2963,HTRU.csv
0.43134999999999996,jm1-processed.csv
0.5,letter-recognition.csv
0.18350000000000002,magic.csv
0.09540000000000001,mozilla.csv
0.0416,namao.csv
0.0094,occupancy.csv
0.24645,phoneme.csv
0.049100000000000005,spambase.csv
0.004,winetype.csv
