MAE,Dataset
0.052199999999999996,1043_ada_agnostic.csv
0.1784,1048_jEdit_4.csv
0.05595,1049_pc4.csv
0.5,1050_pc3.csv
0.09300000000000001,1054_mc2.csv
0.16005,1056_mc1.csv
0.17365000000000003,1061_ar4.csv
0.5,1065_kc3.csv
0.0649,1066_kc1-binary.csv
0.5,1068_pc1.csv
0.49895,1069_pc2.csv
0.23855,1071_mw1.csv
0.127,1073_jEdit_4.csv
0.5,1075_datatrieve.csv
0.28385,1115_teachingAssistant.csv
0.0,1121_badges2.csv
0.15535,1167_pc1_req.csv
0.02825,11_balance-scale.csv
0.0059499999999999996,12_mfeat-factors.csv
0.17995,1456_appendicitis.csv
0.3043,1460_banana.csv
0.00555,1462_banknote-authentication.csv
0.14429999999999998,1464_blood-transfusion-service-center.csv
0.2969,1465_breast-tissue.csv
0.0,1466_cardiotocography.csv
0.5,1467_climate-model-simulation-crashes.csv
0.5,1473_fertility.csv
0.07735,1475_first-order-theorem-proving.csv
0.0575,1479_hill-valley.csv
0.09325000000000001,1484_lsvt.csv
0.15915,1485_madelon.csv
0.11305,1487_ozone-level-8hr.csv
0.047400000000000005,1488_parkinsons.csv
0.07475,1489_phoneme.csv
0.5,1490_planning-relax.csv
0.05625,1494_qsar-biodeg.csv
0.036000000000000004,1495_qualitative-bankruptcy.csv
0.0572,1496_ringnorm.csv
0.049400000000000006,1497_wall-robot-navigation.csv
0.07425,1498_sa-heart.csv
0.010050000000000002,14_mfeat-fourier.csv
0.04445,1501_semeion.csv
0.0,1504_steel-plates-fault.csv
0.5,1506_thoracic-surgery.csv
0.00885,1507_twonorm.csv
0.0294,1508_user-knowledge.csv
0.015150000000000002,1510_wdbc.csv
0.03065,1511_wholesale-customers.csv
0.5,1512_heart-long-beach.csv
0.0575,1519_robot-failures-lp4.csv
0.30265000000000003,1520_robot-failures-lp5.csv
0.01665,1523_vertebra-column.csv
0.09140000000000001,1526_wall-robot-navigation.csv
0.05115,1527_volcanoes-a1.csv
0.044000000000000004,1528_volcanoes-a2.csv
0.04145000000000001,1529_volcanoes-a3.csv
0.0501,1530_volcanoes-a4.csv
0.08865,1535_volcanoes-b5.csv
0.5,1538_volcanoes-d1.csv
0.5,1539_volcanoes-d2.csv
0.2506,1540_volcanoes-d3.csv
0.24745,1541_volcanoes-d4.csv
0.5,1547_autoUniv-au1-1000.csv
0.16440000000000002,1559_breast-tissue.csv
0.06955,1565_heart-h.csv
0.08900000000000001,1566_hill-valley.csv
0.047700000000000006,1570_wilt.csv
0.06775,1600_SPECTF.csv
0.01625,16_mfeat-karhunen.csv
0.0103,182_satimage.csv
0.01075,187_wine.csv
0.006500000000000001,18_mfeat-morphological.csv
0.01565,20_mfeat-pixel.csv
0.0371,22_mfeat-zernike.csv
0.08745000000000001,23_cmc.csv
0.01725,28_optdigits.csv
0.041550000000000004,292_Australian.csv
0.0127,294_satellite_image.csv
0.06415,30_page-blocks.csv
0.18875,311_oil_spill.csv
0.01355,312_scene.csv
0.5,316_yeast_ml8.csv
0.1318,329_hayes-roth.csv
0.11560000000000001,333_monks-problems-1.csv
0.5,334_monks-problems-2.csv
0.1974,335_monks-problems-3.csv
0.20420000000000002,336_SPECT.csv
0.0044,36_segment.csv
0.01935,375_JapaneseVowels.csv
0.00395,377_synthetic_control.csv
0.0736,37_diabetes.csv
0.05355000000000001,40474_thyroid-allbp.csv
0.06335,40475_thyroid-allhyper.csv
0.10175000000000001,40496_LED-display-domain-7digit.csv
0.2579,40733_yeast.csv
0.0233,40877_seeds.csv
0.05305,40_sonar.csv
0.19955,43_haberman.csv
0.0217,44_spambase.csv
0.2398,450_analcatdata_lawsuit.csv
0.11895,4538_GesturePhaseSegmentationProcessed.csv
0.0035499999999999998,458_analcatdata_authorship.csv
0.0393,461_analcatdata_creditscore.csv
0.5,463_backache.csv
0.0358,464_prnn_synth.csv
0.3069,48_tae.csv
0.1259,53_heart-statlog.csv
0.028999999999999998,54_vehicle.csv
0.0458,59_ionosphere.csv
0.030950000000000002,60_waveform-5000.csv
0.0,61_iris.csv
0.5,679_rmftsa_sleepdata.csv
0.01595,694_diggle_table_a2.csv
0.039900000000000005,AedesQuinx.csv
0.011200000000000002,AedesSex.csv
0.00795,anuranCalls.csv
0.00935,ArabicDigit.csv
0.02265,BNG.csv
0.01785,click-prediction.csv
0.4985,cmc.csv
0.07780000000000001,covtype_reduced.csv
0.056799999999999996,default_credit_card_clients.csv
0.09925,eeg.csv
0.1722,HTRU.csv
0.1389,jm1-processed.csv
0.5,letter-recognition.csv
0.04905,magic.csv
0.04020000000000001,mozilla.csv
0.01895,namao.csv
0.0069500000000000004,occupancy.csv
0.07655,phoneme.csv
0.02085,spambase.csv
0.0051,winetype.csv
